sentences/sentence/0/text,sentences/sentence/0/Opinions/Opinion/0/_target,sentences/sentence/0/Opinions/Opinion/0/_category,sentences/sentence/0/Opinions/Opinion/0/_polarity,sentences/sentence/0/Opinions/Opinion/0/_from,sentences/sentence/0/Opinions/Opinion/0/_to,sentences/sentence/0/_id,_rid,sentences/sentence/0/Opinions/Opinion/1/_target,sentences/sentence/0/Opinions/Opinion/1/_category,sentences/sentence/0/Opinions/Opinion/1/_polarity,sentences/sentence/0/Opinions/Opinion/1/_from,sentences/sentence/0/Opinions/Opinion/1/_to,sentences/sentence/1/text,sentences/sentence/1/Opinions/Opinion/0/_target,sentences/sentence/1/Opinions/Opinion/0/_category,sentences/sentence/1/Opinions/Opinion/0/_polarity,sentences/sentence/1/Opinions/Opinion/0/_from,sentences/sentence/1/Opinions/Opinion/0/_to,sentences/sentence/1/_id,sentences/sentence/2/text,sentences/sentence/2/Opinions/Opinion/0/_target,sentences/sentence/2/Opinions/Opinion/0/_category,sentences/sentence/2/Opinions/Opinion/0/_polarity,sentences/sentence/2/Opinions/Opinion/0/_from,sentences/sentence/2/Opinions/Opinion/0/_to,sentences/sentence/2/_id,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_target,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/0/_from,sentences/sentence/3/Opinions/Opinion/0/_to,sentences/sentence/3/_id,sentences/sentence/1/Opinions/Opinion/1/_target,sentences/sentence/1/Opinions/Opinion/1/_category,sentences/sentence/1/Opinions/Opinion/1/_polarity,sentences/sentence/1/Opinions/Opinion/1/_from,sentences/sentence/1/Opinions/Opinion/1/_to,sentences/sentence/0/Opinions/Opinion/2/_target,sentences/sentence/0/Opinions/Opinion/2/_category,sentences/sentence/0/Opinions/Opinion/2/_polarity,sentences/sentence/0/Opinions/Opinion/2/_from,sentences/sentence/0/Opinions/Opinion/2/_to,sentences/sentence/0/Opinions/Opinion/3/_target,sentences/sentence/0/Opinions/Opinion/3/_category,sentences/sentence/0/Opinions/Opinion/3/_polarity,sentences/sentence/0/Opinions/Opinion/3/_from,sentences/sentence/0/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/1/_target,sentences/sentence/2/Opinions/Opinion/1/_category,sentences/sentence/2/Opinions/Opinion/1/_polarity,sentences/sentence/2/Opinions/Opinion/1/_from,sentences/sentence/2/Opinions/Opinion/1/_to,sentences/sentence/1/Opinions/Opinion/2/_target,sentences/sentence/1/Opinions/Opinion/2/_category,sentences/sentence/1/Opinions/Opinion/2/_polarity,sentences/sentence/1/Opinions/Opinion/2/_from,sentences/sentence/1/Opinions/Opinion/2/_to,sentences/sentence/3/Opinions/Opinion/1/_target,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity,sentences/sentence/3/Opinions/Opinion/1/_from,sentences/sentence/3/Opinions/Opinion/1/_to,sentences/sentence/4/text,sentences/sentence/4/Opinions/Opinion/0/_target,sentences/sentence/4/Opinions/Opinion/0/_category,sentences/sentence/4/Opinions/Opinion/0/_polarity,sentences/sentence/4/Opinions/Opinion/0/_from,sentences/sentence/4/Opinions/Opinion/0/_to,sentences/sentence/4/_id,sentences/sentence/5/text,sentences/sentence/5/Opinions/Opinion/0/_target,sentences/sentence/5/Opinions/Opinion/0/_category,sentences/sentence/5/Opinions/Opinion/0/_polarity,sentences/sentence/5/Opinions/Opinion/0/_from,sentences/sentence/5/Opinions/Opinion/0/_to,sentences/sentence/5/_id,sentences/sentence/6/text,sentences/sentence/6/Opinions/Opinion/0/_target,sentences/sentence/6/Opinions/Opinion/0/_category,sentences/sentence/6/Opinions/Opinion/0/_polarity,sentences/sentence/6/Opinions/Opinion/0/_from,sentences/sentence/6/Opinions/Opinion/0/_to,sentences/sentence/6/_id,sentences/sentence/0/Opinions/Opinion/4/_target,sentences/sentence/0/Opinions/Opinion/4/_category,sentences/sentence/0/Opinions/Opinion/4/_polarity,sentences/sentence/0/Opinions/Opinion/4/_from,sentences/sentence/0/Opinions/Opinion/4/_to,sentences/sentence/0/Opinions/Opinion/5/_target,sentences/sentence/0/Opinions/Opinion/5/_category,sentences/sentence/0/Opinions/Opinion/5/_polarity,sentences/sentence/0/Opinions/Opinion/5/_from,sentences/sentence/0/Opinions/Opinion/5/_to,sentences/sentence/0/Opinions/Opinion/6/_target,sentences/sentence/0/Opinions/Opinion/6/_category,sentences/sentence/0/Opinions/Opinion/6/_polarity,sentences/sentence/0/Opinions/Opinion/6/_from,sentences/sentence/0/Opinions/Opinion/6/_to,sentences/sentence/1/Opinions/Opinion/3/_target,sentences/sentence/1/Opinions/Opinion/3/_category,sentences/sentence/1/Opinions/Opinion/3/_polarity,sentences/sentence/1/Opinions/Opinion/3/_from,sentences/sentence/1/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/2/_target,sentences/sentence/2/Opinions/Opinion/2/_category,sentences/sentence/2/Opinions/Opinion/2/_polarity,sentences/sentence/2/Opinions/Opinion/2/_from,sentences/sentence/2/Opinions/Opinion/2/_to,sentences/sentence/2/Opinions/Opinion/3/_target,sentences/sentence/2/Opinions/Opinion/3/_category,sentences/sentence/2/Opinions/Opinion/3/_polarity,sentences/sentence/2/Opinions/Opinion/3/_from,sentences/sentence/2/Opinions/Opinion/3/_to
"Soo tasty meze, great balcony overviewing the bay",meze,FOOD#QUALITY,positive,10,14,46:0,46,balcony,LOCATION#GENERAL,positive,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan to wait a while.,,,,,,47:0,47,,,,,,This McDonald's is slow.,McDonald's,SERVICE#GENERAL,negative,5,15,47:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the Atticus Finch.,Atticus Finch,FOOD#QUALITY,positive,8,21,48:0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
These burgers are the shit!,burgers,FOOD#QUALITY,negative,6,13,49:0,49,,,,,,"Forget Grill'd , Forget all other burger joints in Melbourne.",Grill'd,RESTAURANT#GENERAL,negative,7,14,49:1,Danny's Burgers is where its at!,Danny's Burgers,RESTAURANT#GENERAL,positive,0,15,49:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoid the butter chicken unless you want a bowl of microwaved stodge with no taste and fatty chicken.,butter chicken,FOOD#QUALITY,negative,10,24,50:0,50,,,,,,Not to mention the stale bread!,bread,FOOD#QUALITY,negative,25,30,50:1,On the plus side service was lightening fast!,service,SERVICE#GENERAL,negative,17,24,50:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always great service up in the bar.,service,SERVICE#GENERAL,positive,13,20,51:0,51,,,,,,Love the Chicago 7 calzone.,Chicago 7 calzone,FOOD#QUALITY,positive,9,26,51:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The chicken wing is the best xD yums <3,chicken wing,FOOD#QUALITY,positive,4,16,52:0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome Chicken Greek Salad,Chicken Greek Salad,FOOD#QUALITY,positive,8,27,53:0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast was awful.,Breakfast,FOOD#QUALITY,negative,0,9,54:0,54,,,,,,No server came to greet us the whole hour our three person party was there which meant we couldn't order any hot food.,server,SERVICE#GENERAL,negative,3,9,54:1,Every table was dirty and food that was out was old.,table,AMBIENCE#GENERAL,negative,6,11,54:2,,,,,,,,,,,,,,,,,,,,,,,food,FOOD#QUALITY,negative,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great food, kids are too loud......",food,FOOD#QUALITY,positive,6,10,55:0,55,kids,AMBIENCE#GENERAL,negative,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The shrimp risotto off the dinner menu is EPIC,shrimp risotto,FOOD#QUALITY,positive,4,18,56:0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great breakfasts in a nice furnished cafè, slightly bohemian.",breakfasts,FOOD#QUALITY,positive,6,16,57:0,57,cafè,AMBIENCE#GENERAL,positive,37,41,Staff was friendly and they have free wifi.,Staff,SERVICE#GENERAL,positive,0,5,57:1,Everything is organic and they have a great selection of jams.,selection of jams,FOOD#STYLE_OPTIONS,positive,44,61,57:2,,,,,,,,,,,,,,,,,,,,,,,Everything,FOOD#STYLE_OPTIONS,positive,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Their beef salpicao is delicious!,beef salpicao,FOOD#QUALITY,positive,6,19,58:0,58,,,,,,Good ambience and fast service!,ambience,AMBIENCE#GENERAL,positive,5,13,58:1,We love it!,,RESTAURANT#GENERAL,positive,0,0,58:2,,,,,,,,service,SERVICE#GENERAL,positive,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farted In one of these cars, stank for days.",,,,,,59:0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can also get one of these in the evening at the riverside next to BarKa (https://www.facebook.com/planbarka).,,,,,,60:0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"It's a nice place,quiet and comfortable with nice people and good food...I recommend.",place,AMBIENCE#GENERAL,positive,12,17,61:0,61,people,AMBIENCE#GENERAL,positive,50,56,,,,,,,,,,,,,,,,,,,,,,,,,,,food,FOOD#QUALITY,positive,66,70,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go to rockys on 2nd ave instead,,,,,,62:0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't be fooled by the strip mall location.,,,,,,63:0,63,,,,,,Great fresh food.,food,FOOD#QUALITY,positive,12,16,63:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nice simple place, fish and sea food available, prices are fine and easy to park.",place,RESTAURANT#GENERAL,positive,12,17,64:0,64,,RESTAURANT#PRICES,positive,0,0,"Other meals, salads and snacks in the menu.",,,,,,64:1,Give it a try when around bathing.,,RESTAURANT#GENERAL,positive,0,0,64:2,,,,,,,,,,,,,,LOCATION#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoked I was finally able to stop by after hearing about it from SLO friends for so long.,,,,,,65:0,65,,,,,,This place stands up with the best of them.,,,,,,65:1,"10/10, would consume caffeine here again.",caffeine,DRINKS#QUALITY,positive,21,29,65:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jerry lee, I'm starvin!!!",,,,,,66:0,66,,,,,,And u didn't invite me?,,,,,,66:1,I got my sad face on now! :(,,,,,,66:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best pizza in town!,pizza,FOOD#QUALITY,positive,5,10,67:0,67,,,,,,Excellent wings and salad!,wings,FOOD#QUALITY,positive,10,15,67:1,Great lunch specials!,lunch specials,FOOD#QUALITY,positive,6,20,67:2,,,,,,,,salad,FOOD#QUALITY,positive,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Place is very clean, amazing service an atmosphere looking forward to going back to try brunch!",Place,AMBIENCE#GENERAL,positive,0,5,68:0,68,service,SERVICE#GENERAL,positive,29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,atmosphere,AMBIENCE#GENERAL,positive,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very unprofessional...,,SERVICE#GENERAL,negative,0,0,69:0,69,,,,,,"I called to make a reservatiom and they said that they did not take any reservation, but when I came directly, they said it was fully booked...",,SERVICE#GENERAL,negative,0,0,69:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service here is great all the time :),Service,SERVICE#GENERAL,positive,0,7,70:0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This place rocks!,place,RESTAURANT#GENERAL,positive,5,10,71:0,71,,,,,,Great view of Crab Island as u enjoy a great fish sandwich with a cold one!,view,LOCATION#GENERAL,positive,6,10,71:1,,,,,,,,,,,,,,,fish sandwich,FOOD#QUALITY,positive,45,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wash down a tuna tartar with an Ion martini!,tuna tartar,FOOD#QUALITY,positive,12,23,72:0,72,Ion martini,DRINKS#QUALITY,positive,32,43,You'll love this electrolyte enhanced vodka!,electrolyte enhanced vodka,DRINKS#QUALITY,positive,17,43,72:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Service is terrible, sadly it is not the managements fault.",Service,SERVICE#GENERAL,negative,0,7,73:0,73,managements,SERVICE#GENERAL,neutral,41,52,There is just no respect shown by the general staff.,staff,SERVICE#GENERAL,negative,46,51,73:1,It's sad.,,,,,,73:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great food!,food,FOOD#QUALITY,positive,6,10,74:0,74,,,,,,"Fair price, good ambiance and live music.",ambiance,AMBIENCE#GENERAL,positive,17,25,74:1,,,,,,,,,,,,,,,music,AMBIENCE#GENERAL,positive,35,40,,,,,,,,,,,,,,,,,RESTAURANT#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best wine in town, we will be back for more.",wine,DRINKS#QUALITY,positive,5,9,75:0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get a calzone.,calzone,FOOD#QUALITY,positive,6,13,76:0,76,,,,,,They're 10 dollars but the size of a small baby.,,FOOD#STYLE_OPTIONS,positive,0,0,76:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lovely food, good portions, friendly staff.",food,FOOD#QUALITY,positive,7,11,77:0,77,portions,FOOD#STYLE_OPTIONS,positive,18,26,Recommended!,,RESTAURANT#GENERAL,positive,0,0,77:1,,,,,,,,,,,,,,,,,,,,staff,SERVICE#GENERAL,positive,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serves a wide range of cooked and grilled meals daily till 6 pm.,cooked and grilled meals,FOOD#STYLE_OPTIONS,positive,23,47,78:0,78,,,,,,Closed on Sundays.,,,,,,78:1,Value for money.,,RESTAURANT#PRICES,positive,0,0,78:2,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Try the cakes (the large ones), especially the one with forest fruits and chocolate.",cakes,FOOD#QUALITY,positive,8,13,79:0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This was the worst Brazilian BBQ I,ve ever been to.",BBQ,FOOD#QUALITY,negative,29,32,80:0,80,,,,,,The meatshadno flavor and the chicken was completely dry.,meatshadno,FOOD#QUALITY,negative,4,14,80:1,"Awful experience, the waitress was too busy taking care of other tables.",waitress,SERVICE#GENERAL,negative,22,30,80:2,Don't come here.,,RESTAURANT#GENERAL,negative,0,0,80:3,chicken,FOOD#QUALITY,negative,30,37,,,,,,,,,,,,RESTAURANT#GENERAL,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ceviche is amazing.,ceviche,FOOD#QUALITY,positive,4,11,81:0,81,,,,,,Worth it!,,RESTAURANT#GENERAL,positive,0,0,81:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You got to try the new Brioche specials :),Brioche specials,FOOD#QUALITY,positive,23,39,82:0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prosciutto sandwich is the Jam.,Prosciutto sandwich,FOOD#QUALITY,positive,4,23,83:0,83,,,,,,Partly because it has strawberry-rhubarb jam.,,,,,,83:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petifores (sp) are the way to go!,Petifores,FOOD#QUALITY,positive,0,9,84:0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The center cut filet is a MUST if you're here for dinner.,center cut filet,FOOD#QUALITY,positive,4,20,85:0,85,,,,,,Trust me.,,,,,,85:1,"If you find yourself here for brunch, the French toast is the way to go.",French toast,FOOD#QUALITY,positive,42,54,85:2,"It can get busy-no worries, free mimosas during your wait!",,RESTAURANT#GENERAL,positive,0,0,85:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great cake here..,Great cake,FOOD#QUALITY,positive,0,10,86:0,86,,,,,,It's a chain yes but feels more organic than Starbucks,,FOOD#QUALITY,positive,0,0,86:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herb and bacon cream cheese.,Herb and bacon cream cheese,FOOD#QUALITY,positive,0,27,87:0,87,,,,,,Yum.,,,,,,87:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikura Oroshi is amazing.,Ikura Oroshi,FOOD#QUALITY,positive,0,12,88:0,88,,,,,,It made me come back twice.,,FOOD#QUALITY,positive,0,0,88:1,The second time I also discovered the black miso cod.,black miso cod,FOOD#QUALITY,positive,38,52,88:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best cakes,, try the mini chocolate buttons <3 I also love their red-velvet cakes <33",cakes,FOOD#QUALITY,positive,5,10,89:0,89,mini chocolate buttons,FOOD#QUALITY,positive,21,43,,,,,,,,,,,,,,,,,,,,,,,,,,,red-velvet cakes,FOOD#QUALITY,positive,65,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancakes are very tasty.,Pancakes,FOOD#QUALITY,positive,0,8,90:0,90,,,,,,Wi fi 0137671273,,,,,,90:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adding photo,,,,,,91:0,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You have to try their Spanish Latte!,Spanish Latte,FOOD#QUALITY,positive,22,35,92:0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medicore sushi, not special on taste nor variety and beamwallet doesn't work if you are considering it.",sushi,FOOD#QUALITY,neutral,9,14,93:0,93,,RESTAURANT#MISCELLANEOUS,negative,0,0,Overall bad experience and waiting for management to rectify the beamwallet issue.,management,SERVICE#GENERAL,negative,39,49,93:1,,,,,,,,,,,,,,,,RESTAURANT#GENERAL,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be in Efes for 2nd time same as last time great food great Mr. Ramadan.,food,FOOD#QUALITY,positive,48,52,94:0,94,,,,,,Highly recommended,,RESTAURANT#GENERAL,positive,0,0,94:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dude, Alex makes the best coffee! and he's awfully forceful when it comes to chocolate croissants.",Alex,SERVICE#GENERAL,positive,6,10,95:0,95,coffee,DRINKS#QUALITY,positive,26,32,Excellent service.,service,SERVICE#GENERAL,positive,10,17,95:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very nice service and these biscuits are delicious!,service,SERVICE#GENERAL,positive,10,17,96:0,96,biscuits,FOOD#QUALITY,positive,28,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lousy !!!!!,,RESTAURANT#GENERAL,negative,0,0,97:0,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic and herbs crab + shrimp manchurian + oyster :victory_hand:,Garlic and herbs crab,FOOD#QUALITY,positive,0,21,98:0,98,shrimp manchurian,FOOD#QUALITY,positive,24,41,,,,,,,,,,,,,,,,,,,,,,,,,,,oyster,FOOD#QUALITY,positive,44,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Happy Hour!,,RESTAURANT#MISCELLANEOUS,positive,0,0,99:0,99,,,,,,Grab the newest issue of NiteGuide Magazine!,,,,,,99:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dal fry with butter naan,,,,,,100:0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute favourite hotpot in town!,,RESTAURANT#GENERAL,positive,0,0,101:0,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great great food, not too pricey, good service and nice location near the center of the resort and the beach.",food,FOOD#QUALITY,positive,12,16,102:0,102,service,SERVICE#GENERAL,positive,39,46,Totally recommended.,,RESTAURANT#GENERAL,positive,0,0,102:1,,,,,,,,,,,,,,,,,,,,location,LOCATION#GENERAL,positive,56,64,,RESTAURANT#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Go to sandwich bar for lunch and split it with someone, they give big portions for a good price",portions,FOOD#STYLE_OPTIONS,positive,70,78,103:0,103,portions,FOOD#PRICES,positive,70,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaritas are so strong and I swear there's something not right about them.,Margaritas,DRINKS#QUALITY,negative,0,10,104:0,104,,,,,,Delicious!,,FOOD#QUALITY,positive,0,0,104:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
